source,target,Typ,label,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
consumer alert,foundation for research on economics and the environment,Undirected,jonathan h. adler,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,americans future foundation,Undirected,jonathan h. adler,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
foundation for research on economics and the environment,americans future foundation,Undirected,jonathan h. adler,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
positive weather solutions,european climate foundation,Undirected,jonathan powell,unconvinced of agw,uk,europe,convinced of agw,europe,europe,TRUE,FALSE
philadelphia society,liberty fund,Undirected,joseph f. johnston,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
alternative für deutschland,icrei,Undirected,journalist,,germany,europe,,switzerland,europe,TRUE,FALSE
initiative neue soziale marktwirtschaft,ecipe,Undirected,juergen b. donges,,germany,europe,,belgium,europe,TRUE,FALSE
center for medicine in the public interest,institute of economic affairs,Undirected,julian morris,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
center for medicine in the public interest,icrei,Undirected,julian morris,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
center for medicine in the public interest,mont pelerin society,Undirected,julian morris,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
institute of economic affairs,icrei,Undirected,julian morris,unconvinced of agw,uk,europe,,switzerland,europe,TRUE,FALSE
institute of economic affairs,mont pelerin society,Undirected,julian morris,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
icrei,mont pelerin society,Undirected,julian morris,,switzerland,europe,,global,global,TRUE,TRUE
ashbrook center for public affairs,claremont institute,Undirected,julie ann ponzi,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
campus reform,collegians for a constructive tomorrow,Undirected,justin pulliam,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
campus reform,leadership institute,Undirected,justin pulliam,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
collegians for a constructive tomorrow,leadership institute,Undirected,justin pulliam,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
ludwig von mises institute,institut economique molinari,Undirected,jörg guido hülsmann,unconvinced of agw,usa,north america,,france,europe,TRUE,TRUE
institute for research in economics and fiscal issues,lithuanian free market institute,Undirected,kaetana leontjeva,unconvinced of agw,france,europe,,lithuania,europe,TRUE,FALSE
institute for global economic growth,small business survival committee,Undirected,karen kerrigan,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
center for strategic and international studies,eike,Undirected,karl,,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
center for strategic and international studies,friedrich-naumann-stiftung für die freiheit,Undirected,karl,,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
center for strategic and international studies,sut verlags gmbh,Undirected,karl,,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
eike,friedrich-naumann-stiftung für die freiheit,Undirected,karl,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
eike,sut verlags gmbh,Undirected,karl,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
friedrich-naumann-stiftung für die freiheit,sut verlags gmbh,Undirected,karl,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
ludwig von mises institute,hayek institut,Undirected,karl socher,unconvinced of agw,usa,north america,unconvinced of agw,austria,europe,TRUE,TRUE
clare boothe luce policy institute,young americas foundation,Undirected,kate obenshain,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
council for national policy,free congress foundation,Undirected,kathleen teague rothschild,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
americans for prosperity,institute for humane studies,Undirected,katie engdahl,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
clare boothe luce policy institute,independent womens forum,Undirected,kellyanne conway,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
clare boothe luce policy institute,young americas foundation,Undirected,kellyanne conway,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
independent womens forum,young americas foundation,Undirected,kellyanne conway,,usa,north america,,usa,north america,FALSE,FALSE
american civil rights union,family research council,Undirected,ken blackwell,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american civil rights union,family research council,Undirected,ken klukowski,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
australians for northern development and economic vision,the carbon sense coalition,Undirected,ken perry,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,TRUE,TRUE
australian taxpayer alliance,frontier centre for public policy,Undirected,ken phillips,,australia,oceania,unconvinced of agw,canada,north america,TRUE,TRUE
doctors for disaster preparedness,environmental literacy council,Undirected,kenneth green,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
doctors for disaster preparedness,american council on science and health,Undirected,kenneth green,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
environmental literacy council,american council on science and health,Undirected,kenneth green,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
bruges group,mont pelerin society,Undirected,kenneth minogue,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
american civil rights union,washington legal foundation,Undirected,kenneth w. starr,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute of economic affairs,the cobden centre,Undirected,kevin dowd,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,FALSE,FALSE
institute of economic affairs,freedom organisation for the right to enjoy smoking tobacco,Undirected,kevin dowd,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
the cobden centre,freedom organisation for the right to enjoy smoking tobacco,Undirected,kevin dowd,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
wirtschaftsclub nordoberpfalz,sut verlags gmbh,Undirected,kfm,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
stichting meer vrijheid,open klimaat,Undirected,kim winkelaar,unconvinced of agw,netherlands,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
philanthropy roundtable,property and environment research center,Undirected,kimberly o. dennis,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
philanthropy roundtable,donors trust,Undirected,kimberly o. dennis,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
philanthropy roundtable,independent womens forum,Undirected,kimberly o. dennis,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
property and environment research center,donors trust,Undirected,kimberly o. dennis,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
property and environment research center,independent womens forum,Undirected,kimberly o. dennis,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
donors trust,independent womens forum,Undirected,kimberly o. dennis,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
the american conservative union foundation,young americas foundation,Undirected,kirby wilbur,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
principia scientific international,clexit,Undirected,klaus l.e. kaiser,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
foundation for economic education,institute for humane studies,Undirected,kris alan mauren,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
illinois policy institute,national taxpayers union,Undirected,kristina rasmussen,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american conservative union,the american conservative union foundation,Undirected,larry hart,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
claremont institute,philadelphia society,Undirected,larry p. arnn,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,"environmental conservation organization, inc.",Undirected,larry pratt,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,freedom21,Undirected,larry pratt,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
"environmental conservation organization, inc.",freedom21,Undirected,larry pratt,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
freedomworks,institute for policy innovation,Undirected,lawrence a. hunter,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
freedomworks,national tax limitation committee,Undirected,lawrence a. hunter,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for policy innovation,national tax limitation committee,Undirected,lawrence a. hunter,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
citizens for a sound economy,consumer alert,Undirected,lawrence a. kudlow,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for security policy,claremont institute,Undirected,lawrence kadish,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
ludwig von mises institute,mackinac center for public policy,Undirected,lawrence reed,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
foundation for economic education,mackinac center for public policy,Undirected,lawrence w. reed,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
foundation for economic education,virginia institute for public policy,Undirected,lawrence w. reed,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
mackinac center for public policy,virginia institute for public policy,Undirected,lawrence w. reed,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
bruges group,taxpayers alliance,Undirected,lee rotherham,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
institute for humane studies,foundation for individual rights in education,Undirected,leonard liggio,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for humane studies,americans future foundation,Undirected,leonard liggio,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for humane studies,liberales institut,Undirected,leonard liggio,unconvinced of agw,usa,north america,unconvinced of agw,switzerland,europe,TRUE,TRUE
institute for humane studies,institut turgot,Undirected,leonard liggio,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
institute for humane studies,institut constant de rebecque,Undirected,leonard liggio,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
institute for humane studies,ludwig von mises institute europe,Undirected,leonard liggio,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
institute for humane studies,mont pelerin society,Undirected,leonard liggio,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
foundation for individual rights in education,americans future foundation,Undirected,leonard liggio,,usa,north america,,usa,north america,FALSE,FALSE
foundation for individual rights in education,liberales institut,Undirected,leonard liggio,,usa,north america,unconvinced of agw,switzerland,europe,TRUE,TRUE
foundation for individual rights in education,institut turgot,Undirected,leonard liggio,,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
foundation for individual rights in education,institut constant de rebecque,Undirected,leonard liggio,,usa,north america,,switzerland,europe,TRUE,TRUE
foundation for individual rights in education,ludwig von mises institute europe,Undirected,leonard liggio,,usa,north america,,belgium,europe,TRUE,TRUE
foundation for individual rights in education,mont pelerin society,Undirected,leonard liggio,,usa,north america,,global,global,TRUE,TRUE
americans future foundation,liberales institut,Undirected,leonard liggio,,usa,north america,unconvinced of agw,switzerland,europe,TRUE,TRUE
americans future foundation,institut turgot,Undirected,leonard liggio,,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
americans future foundation,institut constant de rebecque,Undirected,leonard liggio,,usa,north america,,switzerland,europe,TRUE,TRUE
americans future foundation,ludwig von mises institute europe,Undirected,leonard liggio,,usa,north america,,belgium,europe,TRUE,TRUE
americans future foundation,mont pelerin society,Undirected,leonard liggio,,usa,north america,,global,global,TRUE,TRUE
liberales institut,institut turgot,Undirected,leonard liggio,unconvinced of agw,switzerland,europe,unconvinced of agw,france,europe,TRUE,FALSE
liberales institut,institut constant de rebecque,Undirected,leonard liggio,unconvinced of agw,switzerland,europe,,switzerland,europe,FALSE,FALSE
liberales institut,ludwig von mises institute europe,Undirected,leonard liggio,unconvinced of agw,switzerland,europe,,belgium,europe,TRUE,FALSE
liberales institut,mont pelerin society,Undirected,leonard liggio,unconvinced of agw,switzerland,europe,,global,global,TRUE,TRUE
institut turgot,institut constant de rebecque,Undirected,leonard liggio,unconvinced of agw,france,europe,,switzerland,europe,TRUE,FALSE
institut turgot,ludwig von mises institute europe,Undirected,leonard liggio,unconvinced of agw,france,europe,,belgium,europe,TRUE,FALSE
institut turgot,mont pelerin society,Undirected,leonard liggio,unconvinced of agw,france,europe,,global,global,TRUE,TRUE
institut constant de rebecque,ludwig von mises institute europe,Undirected,leonard liggio,,switzerland,europe,,belgium,europe,TRUE,FALSE
institut constant de rebecque,mont pelerin society,Undirected,leonard liggio,,switzerland,europe,,global,global,TRUE,TRUE
ludwig von mises institute europe,mont pelerin society,Undirected,leonard liggio,,belgium,europe,,global,global,TRUE,TRUE
philadelphia society,virginia institute for public policy,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
philadelphia society,liberty fund,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
philadelphia society,social affairs unit,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
philadelphia society,mont pelerin society,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
virginia institute for public policy,liberty fund,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
virginia institute for public policy,social affairs unit,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
virginia institute for public policy,mont pelerin society,Undirected,leonard p. liggio,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
liberty fund,social affairs unit,Undirected,leonard p. liggio,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
liberty fund,mont pelerin society,Undirected,leonard p. liggio,,usa,north america,,global,global,TRUE,TRUE
social affairs unit,mont pelerin society,Undirected,leonard p. liggio,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
foundation for economic education,mont pelerin society,Undirected,leonard read,unconvinced of agw,usa,north america,,global,global,TRUE,TRUE
european policy centre,friedrich august von hayek stiftung,Undirected,leszek balcerowicz,unconvinced of agw,belgium,europe,,germany,europe,TRUE,FALSE
consumer alert,the american conservative union foundation,Undirected,lewis k. uhler,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american civil rights union,center of the american experiment,Undirected,linda chavez,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american civil rights union,hispanic leadership fund,Undirected,linda chavez,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center of the american experiment,hispanic leadership fund,Undirected,linda chavez,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute of economic affairs,initiative for public policy analysis,Undirected,linda whetstone,unconvinced of agw,uk,europe,unconvinced of agw,nigeria,africa,TRUE,TRUE
institute of economic affairs,imani,Undirected,linda whetstone,unconvinced of agw,uk,europe,unconvinced of agw,unknown,unknown,TRUE,TRUE
institute of economic affairs,mont pelerin society,Undirected,linda whetstone,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
initiative for public policy analysis,imani,Undirected,linda whetstone,unconvinced of agw,nigeria,africa,unconvinced of agw,unknown,unknown,TRUE,TRUE
initiative for public policy analysis,mont pelerin society,Undirected,linda whetstone,unconvinced of agw,nigeria,africa,,global,global,TRUE,TRUE
imani,mont pelerin society,Undirected,linda whetstone,unconvinced of agw,unknown,unknown,,global,global,TRUE,TRUE
american energy alliance,insitute for energy research,Undirected,lisa wallace,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
foundation for economic education,foundation for individual rights in education,Undirected,lloyd buchanan,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
bruges group,hayek institut,Undirected,lord harris,unconvinced of agw,uk,europe,unconvinced of agw,austria,europe,TRUE,FALSE
bruges group,mont pelerin society,Undirected,lord harris,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
hayek institut,mont pelerin society,Undirected,lord harris,unconvinced of agw,austria,europe,,global,global,TRUE,TRUE
the global warming policy foundation,austrian economics center,Undirected,lord lawson,unconvinced of agw,uk,europe,unconvinced of agw,austria,europe,TRUE,FALSE
the freedom association,freedom organisation for the right to enjoy smoking tobacco,Undirected,lord stoddart,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
american legislative exchange council,regular folks united,Undirected,lori roman,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,council for national policy,Undirected,lou sheldon,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
bürger für technik,kerntechnische gesellschaft,Undirected,ludwig lindner,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
eike,bürger für technik,Undirected,lutz niemann,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
freedom foundation,state policy network,Undirected,lynn harsh,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
philadelphia society,national tax limitation committee,Undirected,m. stanton evans,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
the galileo movement,the carbon sense coalition,Undirected,malcolm roberts,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,TRUE,TRUE
the galileo movement,principia scientific international,Undirected,malcolm roberts,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,TRUE,TRUE
the galileo movement,clexit,Undirected,malcolm roberts,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,TRUE,TRUE
the carbon sense coalition,principia scientific international,Undirected,malcolm roberts,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
the carbon sense coalition,clexit,Undirected,malcolm roberts,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
principia scientific international,clexit,Undirected,malcolm roberts,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
murray rothbard instituut,nova civitas,Undirected,marc cools,unconvinced of agw,belgium,europe,unconvinced of agw,belgium,europe,FALSE,FALSE
murray rothbard instituut,libera!,Undirected,marc cools,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
nova civitas,libera!,Undirected,marc cools,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
antibuerokratieteam.net,berlin manhattan institut für unternehmerische freiheit e.v.,Undirected,marc hartwich,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
ludwig von mises institute,wir,Undirected,marcus,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
instituto liberdade,mont pelerin society,Undirected,margaret tse,unconvinced of agw,brazil,south america,,global,global,TRUE,TRUE
american council for capital formation,international council for capital formation,Undirected,margo thorning,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american council for capital formation,icrei,Undirected,margo thorning,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
international council for capital formation,icrei,Undirected,margo thorning,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
democracy institute,liberty league,Undirected,marian tupy,unconvinced of agw,usa,north america,,uk,europe,TRUE,TRUE
institut turgot,les collectif des climato réalistes,Undirected,marie-france suivre,unconvinced of agw,france,europe,,unknown,unknown,TRUE,TRUE
campus reform,leadership institute,Undirected,marjorie jeffrey,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
ludwig von mises institute,virginia institute for public policy,Undirected,mark brandly,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
clexit,ib%c3%a9rica 2000,Undirected,mark duchamp,unconvinced of agw,usa,north america,,unknown,unknown,TRUE,TRUE
niskanen center,institute of economic affairs,Undirected,mark littlewood,convinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
institute of economic affairs,berlin manhattan institut für unternehmerische freiheit e.v.,Undirected,mark pennington,unconvinced of agw,uk,europe,unconvinced of agw,germany,europe,TRUE,FALSE
instituto de libre empresa,council for national policy,Undirected,mark skousen,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,TRUE,TRUE
instituto de libre empresa,foundation for economic education,Undirected,mark skousen,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,TRUE,TRUE
council for national policy,foundation for economic education,Undirected,mark skousen,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for medicine in the public interest,ludwig von mises institute,Undirected,mark thornton,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
ludwig von mises institute,james madison institute,Undirected,marshall derosa,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
nova civitas,work for all,Undirected,martin de vlieghere,unconvinced of agw,belgium,europe,unconvinced of agw,belgium,europe,FALSE,FALSE
principia scientific international,clexit,Undirected,martin hertzberg,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
the global warming policy foundation,open europe,Undirected,martin jacomb,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
montreal economic institute,institut economique molinari,Undirected,martin masse,unconvinced of agw,canada,north america,,france,europe,TRUE,TRUE
institute for humane studies,john william pope center for higher education policy,Undirected,marty zupan,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
national right to work committee,oregon center for public policy,Undirected,mary king,,usa,north america,,usa,north america,FALSE,FALSE
global humanitarian forum,european climate foundation,Undirected,mary robinson,convinced of agw,switzerland,europe,convinced of agw,europe,europe,TRUE,FALSE
atlas society,campaign for liberty,Undirected,matt holdridge,,usa,north america,,usa,north america,FALSE,FALSE
atlas society,young americans for liberty,Undirected,matt holdridge,,usa,north america,,usa,north america,FALSE,FALSE
campaign for liberty,young americans for liberty,Undirected,matt holdridge,,usa,north america,,usa,north america,FALSE,FALSE
citizens for a sound economy,freedomworks,Undirected,matt kibbe,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
the cobden centre,taxpayers alliance,Undirected,matthew elliott,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
liberty league,taxpayers alliance,Undirected,matthew sinclair,,uk,europe,,uk,europe,FALSE,FALSE
claremont institute,americans future foundation,Undirected,matthew spalding,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
nova civitas,center for european renewal,Undirected,matthias storme,unconvinced of agw,belgium,europe,,netherlands,europe,TRUE,FALSE
nova civitas,libera!,Undirected,matthias storme,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
nova civitas,res publica,Undirected,matthias storme,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
center for european renewal,libera!,Undirected,matthias storme,,netherlands,europe,,belgium,europe,TRUE,FALSE
center for european renewal,res publica,Undirected,matthias storme,,netherlands,europe,,belgium,europe,TRUE,FALSE
libera!,res publica,Undirected,matthias storme,,belgium,europe,,belgium,europe,FALSE,FALSE
libertarian international,tennessee center for policy research,Undirected,michael,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
campus reform,leadership institute,Undirected,michael armstrong,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
james madison institute,kansas policy institute,Undirected,michael bond,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
oklahoma council of public affairs,the liberty foundation of america,Undirected,michael c. carnuccio,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
collegians for a constructive tomorrow,young americans for liberty,Undirected,michael fellner,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
environmental literacy council,independent commission on environmental education,Undirected,michael glantz,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
initiative neue soziale marktwirtschaft,institut der deutschen wirtschaft,Undirected,michael hüther,,germany,europe,,germany,europe,FALSE,FALSE
national association of scholars,virginia institute for public policy,Undirected,michael i. krauss,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
goldwater institute,virginia institute for public policy,Undirected,michael j. new,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
clexit,eike,Undirected,michael limburg,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
clexit,hausgeld-vergleich,Undirected,michael limburg,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,TRUE,TRUE
clexit,alternative für deutschland,Undirected,michael limburg,unconvinced of agw,usa,north america,,germany,europe,TRUE,TRUE
eike,hausgeld-vergleich,Undirected,michael limburg,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,FALSE,FALSE
eike,alternative für deutschland,Undirected,michael limburg,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
hausgeld-vergleich,alternative für deutschland,Undirected,michael limburg,unconvinced of agw,germany,europe,,germany,europe,FALSE,FALSE
democracy institute,social affairs unit,Undirected,michael mosbacher,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
center of the american experiment,social affairs unit,Undirected,michael novak,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
council for national policy,free congress foundation,Undirected,michael p. farris,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
environmental perspectives,sovereignty international,Undirected,michael s. coffman,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute for research in economics and fiscal issues,institut thomas more,Undirected,michael von liechtenstein,unconvinced of agw,france,europe,,france,europe,FALSE,FALSE
scientific alliance,sense about science,Undirected,michael wilson,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
hayek institut,mont pelerin society,Undirected,michael zöller,unconvinced of agw,austria,europe,,global,global,TRUE,TRUE
philadelphia society,independent womens forum,Undirected,midge decter,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
american energy alliance,insitute for energy research,Undirected,mike morrison,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american council on science and health,sound science in public policy,Undirected,miles weinberger,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
national tax limitation committee,western economic association international,Undirected,milton friedman,,usa,north america,,usa,north america,FALSE,FALSE
national tax limitation committee,mont pelerin society,Undirected,milton friedman,,usa,north america,,global,global,TRUE,TRUE
western economic association international,mont pelerin society,Undirected,milton friedman,,usa,north america,,global,global,TRUE,TRUE
ludwig von mises institute,scholars for 9/11 truth,Undirected,morgan reynolds,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
ludwig von mises institute,tobacco institute,Undirected,morgan reynolds,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
scholars for 9/11 truth,tobacco institute,Undirected,morgan reynolds,,usa,north america,,usa,north america,FALSE,FALSE
council for national policy,leadership institute,Undirected,morton blackwell,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,national right to work committee,Undirected,morton blackwell,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
leadership institute,national right to work committee,Undirected,morton blackwell,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
american civil rights union,the american conservative union foundation,Undirected,morton c. blackwell,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american civil rights union,free congress foundation,Undirected,morton c. blackwell,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
the american conservative union foundation,free congress foundation,Undirected,morton c. blackwell,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
global climate science communications team,icrei,Undirected,myron ebell,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
