person;organisation;wiki_page;cat_agw_opinion;cat_occupation;cat_relgion_opinion;cat_topic;Page_Link
Marvin M̟ller;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Marvin_M%C3%BCller
Robert F. Onder;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Robert_F._Onder
Gabriele Rentrop;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gabriele_Rentrop
Keith Shelton;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Keith_Shelton
Bill Steffen;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bill_Steffen
Ann Bressington;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ann_Bressington
Alicia Crawley;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alicia_Crawley
Remco Dijkstra;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Remco_Dijkstra
Andreas Frey;;own_page;; journalists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andreas_Frey
Alexander A;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alexander_A%C4%8D
Jeff Goodell;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jeff_Goodell
Cliff Harris;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Cliff_Harris
Jim Hopkins;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jim_Hopkins
Jason Scott Johnston;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jason_Scott_Johnston
Judith L. Lean;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Judith_L._Lean
Bill Meck;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bill_Meck
Hans Bader;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hans_Bader
James Renwick;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_Renwick
Pierre Saelen;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Pierre_Saelen
Cal Thomas;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Cal_Thomas
Clive Best;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Clive_Best
Uberto Crescenti;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Uberto_Crescenti
David Dilley;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Dilley
Dave Epstein;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dave_Epstein
Chris Frey;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Chris_Frey
Thomas Ackerman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thomas_Ackerman
Wayne Goodfellow;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Wayne_Goodfellow
Peter Harris;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Harris
John Johnston;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Johnston
Scott Learn;;own_page;; journalists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Scott_Learn
David J. C. MacKay;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_J._C._MacKay
Kenneth Medlock III;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kenneth_Medlock_III
Wolfgang M̟ller;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Wolfgang_M%C3%BCller
Elisabeth Badinter;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Elisabeth_Badinter
Template:Republican;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Template:Republican
Terry Safford;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Terry_Safford
Allan Shepard;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Allan_Shepard
J̼rgen Peder Steffensen;;own_page;; scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=J%C3%B8rgen_Peder_Steffensen
David Thomas;;own_page;; scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Thomas
Donna Fitzpatrick Bethell;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Donna_Fitzpatrick_Bethell
Peter Cresswell;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Cresswell
Paul R. Epstein;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_R._Epstein
Martin Fricke;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Martin_Fricke
Ulrike Ackermann;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ulrike_Ackermann
Bob Goodlatte;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bob_Goodlatte
Robin Horbury;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Robin_Horbury
William Robert Johnston;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=William_Robert_Johnston
Paul Knight;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_Knight
Peter R. Leavitt;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_R._Leavitt
Richard Mackey;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Richard_Mackey
Joachim M̟ller-Jung;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joachim_M%C3%BCller-Jung
Edmund Opitz;;own_page;;; christians;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Edmund_Opitz
Paul Baer;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_Baer
Till Requate;;own_page;; economists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Till_Requate
Roger Saha;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Roger_Saha
Bruce A. Shepherd;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bruce_A._Shepherd
Tony Thomas;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tony_Thomas
Thomas Bethell;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thomas_Bethell
Mike Breunling;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mike_Breunling
Ondej Υrt̟k;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ond%C5%99ej_%C4%8Cert%C3%ADk
J̟rgen Creutzmann;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=J%C3%BCrgen_Creutzmann
Doug Ericksen;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Doug_Ericksen
Pascal Acot;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Pascal_Acot
Amy Goodman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Amy_Goodman
Ari Jokim̟ki;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ari_Jokim%C3%A4ki
Tom Knighton;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tom_Knighton
Jon Lebkowsky;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jon_Lebkowsky
Allan M.R. MacRae;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Allan_M.R._MacRae
Burkhard M̟ller-Ullrich;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Burkhard_M%C3%BCller-Ullrich
User:BaerbelW;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=User:BaerbelW
Geoffrey Allan Plauch̩;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoffrey_Allan_Plauch%C3%A9
Herbert Reul;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Herbert_Reul
Yasmin H. Said;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Yasmin_H._Said
Marshall Shepherd;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Marshall_Shepherd
Nico Stehr;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Nico_Stehr
M. Ray Thomasson;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=M._Ray_Thomasson
Jim Bridenstine;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jim_Bridenstine
Randall Cerveny;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Randall_Cerveny
Michael Crichton;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Crichton
Andr̩s Diplotti;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andr%C3%A9s_Diplotti
Paul Friedhoff;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_Friedhoff
David Harsanyi;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Harsanyi
Art Horn;;own_page;; meteorologists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Art_Horn
Anne Jolis;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Anne_Jolis
Karel Knip;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Karel_Knip
Paul MacRae;;own_page;; journalists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_MacRae
Markwayne Mullin;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Markwayne_Mullin
Roger Baettig;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Roger_Baettig
Philip Plickert;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Philip_Plickert
Roger Revelle;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Roger_Revelle
James E. Saiers;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_E._Saiers
Richard F. Shepherd;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Richard_F._Shepherd
Eric Steig;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Eric_Steig
Gary Thompson;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gary_Thompson
Ernest Beutler;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ernest_Beutler
Steve Chabot;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Steve_Chabot
James Cripwell;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_Cripwell
William DiPuccio;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=William_DiPuccio
Pierre Friedlingstein;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Pierre_Friedlingstein
Edward Acton;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Edward_Acton
Jeanette N. Goodman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jeanette_N._Goodman
Peter Reginald Hartley;;own_page;; economists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Reginald_Hartley
Claude Jollet;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Claude_Jollet
Oliver Knipping;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Oliver_Knipping
Kary Mullis;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kary_Mullis
John Carlos Baez;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Carlos_Baez
Andrew C. Revkin;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andrew_C._Revkin
Marc Sheppard;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Marc_Sheppard
Bill Steigerwald;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bill_Steigerwald
Glenn Thompson;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Glenn_Thompson
Keith Briffa;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Keith_Briffa
John Chadbourne;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Chadbourne
DirkH;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=DirkH
Klaus Ermecke;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Klaus_Ermecke
David Friedman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Friedman
Robert K. Adair;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Robert_K._Adair
John C. Goodman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_C._Goodman
Bernd Hartmann;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Bernd_Hartmann
Norbert Knobloch;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Norbert_Knobloch
Chad Lee;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Chad_Lee
Rachel Maddow;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Rachel_Maddow
Jean Meeus;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jean_Meeus
Paul Mulshine;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_Mulshine
Jane M. Orient;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jane_M._Orient
Matthew Bailes;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Matthew_Bailes
Sven Pl̦ger;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Sven_Pl%C3%B6ger
Michel Sakkers;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michel_Sakkers
Noel Sheppard;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Noel_Sheppard
Gregg D. Thompson;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gregg_D._Thompson
Vladislav Bevc;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Vladislav_Bevc
Edward S. Briggs;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Edward_S._Briggs
Arthur V. Chadwick;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arthur_V._Chadwick
Susan Crockford;;own_page;; biologists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Susan_Crockford
David Dirkse;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Dirkse
Joni Ernst;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joni_Ernst
Peter Friedman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Friedman
Christopher G. Adamo;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Christopher_G._Adamo
James D. Goodridge;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_D._Goodridge
Dap Hartmann;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dap_Hartmann
Christoph Horst;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Christoph_Horst
Brigitte Knopf;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Brigitte_Knopf
Dwight R. Lee;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dwight_R._Lee
Lutgard Madereel;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Lutgard_Madereel
Willemien Meeuwissen;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Willemien_Meeuwissen
Mick Mulvaney;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mick_Mulvaney
Prince Bertrand of Orl̩ans-Braganza;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Prince_Bertrand_of_Orl%C3%A9ans-Braganza
Frederick Bailey;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Frederick_Bailey
Victor Pochat;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Victor_Pochat
Morgan O. Reynolds;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Morgan_O._Reynolds
Pepe Salama;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Pepe_Salama
Lonnie Thompson;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Lonnie_Thompson
Joseph John Bevelacqua;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Joseph_John_Bevelacqua
William M. Briggs;;own_page;; meteorologists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=William_M._Briggs
Zev Chafets;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Zev_Chafets
Paul A. Dirmeyer;;own_page;; climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Paul_A._Dirmeyer
Marcus D. Ernst;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Marcus_D._Ernst
Thomas L. Friedman;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thomas_L._Friedman
O. R. Adams Jr.;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=O._R._Adams_Jr.
Dirck T. Hartmann;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Dirck_T._Hartmann
Raymond Horstman;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Raymond_Horstman
Robert S. Knox;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Robert_S._Knox
James Lee;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=James_Lee
Thomas Mehner;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Thomas_Mehner
Mary Mumper;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mary_Mumper
Andrew Orlowski;;own_page;; journalists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andrew_Orlowski
Geoff Bailey;;own_page;; scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoff_Bailey
Roger Pocklington;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Roger_Pocklington
Neil Reynolds;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Neil_Reynolds
Gabriel Salas;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Gabriel_Salas
Achim Steiner;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Achim_Steiner
Mike Thompson;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mike_Thompson
Hartmut Beyerl;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hartmut_Beyerl
Anthony Bright-Paul;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Anthony_Bright-Paul
Jason Chaffetz;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jason_Chaffetz
Mikael Cronholm;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mikael_Cronholm
Hans Erren;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hans_Erren
Eigil Friis-Christensen;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Eigil_Friis-Christensen
Andrew Adams;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Andrew_Adams
Peter Hartmann;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Hartmann
Steven G. Horwitz;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Steven_G._Horwitz
Tsung-Dao Lee;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tsung-Dao_Lee
Remy Maessen;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Remy_Maessen
Kurt Munger;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kurt_Munger
Ronald Bailey;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ronald_Bailey
John Podesta;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Podesta
Max Rheese;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Max_Rheese
Michael R. Salazar;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_R._Salazar
Michael Shermer;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Shermer
Mac Thornberry;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mac_Thornberry
Roger H. Bezdek;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Roger_H._Bezdek
John Brignell;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Brignell
David Chambers;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Chambers
Matthew Cronin;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Matthew_Cronin
Enno Dittmar;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Enno_Dittmar
Josef G̦ppel;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Josef_G%C3%B6ppel
Matthias Horx;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Matthias_Horx
Jonathan A. Jones;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jonathan_A._Jones
Klaus Kn̟pffer;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Klaus_Kn%C3%BCpffer
Tung-Ching Lee;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tung-Ching_Lee
Marcus Meier;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Marcus_Meier
Jamal Munshi;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jamal_Munshi
Stephen Bailey;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Stephen_Bailey
Ted Poe;;own_page;; politicians;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ted_Poe
John E. Rhoads;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_E._Rhoads
Frank Sherosky;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Frank_Sherosky
Geoffrey Steinherz;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoffrey_Steinherz
Nancy J. Thorner;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Nancy_J._Thorner
Jagdish N. Bhagwati;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Jagdish_N._Bhagwati
Barry Brill;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Barry_Brill
Geoff Chambers;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoff_Chambers
Tad Cronn;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tad_Cronn
Stefan Fritz;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Stefan_Fritz
Chad Adams;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Chad_Adams
Lucas Hartong;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Lucas_Hartong
Peter Tom Jones;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Peter_Tom_Jones
Ren̩ Leegte;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ren%C3%A9_Leegte
Fabian Magerl;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Fabian_Magerl
Harro Meijer;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Harro_Meijer
Werner Munter;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Werner_Munter
William David Orr;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=William_David_Orr
David Pogatzki;;own_page;;; libertarianism;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Pogatzki
Tom Rhodes;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Tom_Rhodes
Geoff Sherrington;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Geoff_Sherrington
Michael Steketee;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Steketee
M. I. Bhat;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=M._I._Bhat
David Brin;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=David_Brin
Kent A. Chambers;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Kent_A._Chambers
Claes Cronstedt;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Claes_Cronstedt
Ruth Dixon;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ruth_Dixon
Michael Frogley;;own_page;; scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Michael_Frogley
Harry A. Gordon;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Harry_A._Gordon
Matthias Hartung;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Matthias_Hartung
Brian Hoskins;;own_page;; scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Brian_Hoskins
Phil Jones;;own_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Phil_Jones
