connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
leonard p. liggio,virginia institute for public policy,social affairs unit,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
leonard p. liggio,virginia institute for public policy,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
leonard p. liggio,liberty fund,social affairs unit,,usa,north america,unconvinced of agw,uk,europe,1,1
leonard p. liggio,liberty fund,mont pelerin society,,usa,north america,,global,global,1,1
leonard p. liggio,social affairs unit,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
leonard read,foundation for economic education,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
leszek balcerowicz,european policy centre,friedrich august von hayek stiftung,unconvinced of agw,belgium,europe,,germany,europe,1,0
lewis k. uhler,consumer alert,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
linda chavez,american civil rights union,center of the american experiment,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
linda chavez,american civil rights union,hispanic leadership fund,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
linda chavez,center of the american experiment,hispanic leadership fund,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
linda whetstone,institute of economic affairs,initiative for public policy analysis,unconvinced of agw,uk,europe,unconvinced of agw,nigeria,africa,1,1
linda whetstone,institute of economic affairs,imani,unconvinced of agw,uk,europe,unconvinced of agw,unknown,unknown,1,1
linda whetstone,institute of economic affairs,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
linda whetstone,initiative for public policy analysis,imani,unconvinced of agw,nigeria,africa,unconvinced of agw,unknown,unknown,1,1
linda whetstone,initiative for public policy analysis,mont pelerin society,unconvinced of agw,nigeria,africa,,global,global,1,1
linda whetstone,imani,mont pelerin society,unconvinced of agw,unknown,unknown,,global,global,1,1
lisa wallace,american energy alliance,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
lloyd buchanan,foundation for economic education,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
lord harris,bruges group,hayek institut,unconvinced of agw,uk,europe,unconvinced of agw,austria,europe,1,0
lord harris,bruges group,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
lord harris,hayek institut,mont pelerin society,unconvinced of agw,austria,europe,,global,global,1,1
lord lawson,the global warming policy foundation,austrian economics center,unconvinced of agw,uk,europe,unconvinced of agw,austria,europe,1,0
lord stoddart,the freedom association,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
lori roman,american legislative exchange council,regular folks united,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
lou sheldon,american environmental coalition,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
ludwig lindner,bürger für technik,kerntechnische gesellschaft,unconvinced of agw,germany,europe,,germany,europe,0,0
lutz niemann,eike,bürger für technik,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
lynn harsh,freedom foundation,state policy network,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
m. stanton evans,philadelphia society,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
malcolm roberts,the galileo movement,the carbon sense coalition,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
malcolm roberts,the galileo movement,principia scientific international,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
malcolm roberts,the galileo movement,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
malcolm roberts,the carbon sense coalition,principia scientific international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
malcolm roberts,the carbon sense coalition,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
malcolm roberts,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
marc cools,murray rothbard instituut,nova civitas,unconvinced of agw,belgium,europe,unconvinced of agw,belgium,europe,0,0
marc cools,murray rothbard instituut,libera!,unconvinced of agw,belgium,europe,,belgium,europe,0,0
marc cools,nova civitas,libera!,unconvinced of agw,belgium,europe,,belgium,europe,0,0
marc hartwich,antibuerokratieteam.net,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
marcus,ludwig von mises institute,wir,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
margaret tse,instituto liberdade,mont pelerin society,unconvinced of agw,brazil,south america,,global,global,1,1
margo thorning,american council for capital formation,international council for capital formation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
margo thorning,american council for capital formation,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
margo thorning,international council for capital formation,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
marian tupy,democracy institute,liberty league,unconvinced of agw,usa,north america,,uk,europe,1,1
marie-france suivre,institut turgot,les collectif des climato réalistes,unconvinced of agw,france,europe,,unknown,unknown,1,1
marjorie jeffrey,campus reform,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
mark brandly,ludwig von mises institute,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
mark duchamp,clexit,ib%c3%a9rica 2000,unconvinced of agw,usa,north america,,unknown,unknown,1,1
mark littlewood,niskanen center,institute of economic affairs,convinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
mark pennington,institute of economic affairs,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,uk,europe,unconvinced of agw,germany,europe,1,0
mark skousen,instituto de libre empresa,council for national policy,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,1,1
mark skousen,instituto de libre empresa,foundation for economic education,unconvinced of agw,peru,south america,unconvinced of agw,usa,north america,1,1
mark skousen,council for national policy,foundation for economic education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
mark thornton,center for medicine in the public interest,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
marshall derosa,ludwig von mises institute,james madison institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
martin de vlieghere,nova civitas,work for all,unconvinced of agw,belgium,europe,unconvinced of agw,belgium,europe,0,0
martin hertzberg,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
martin jacomb,the global warming policy foundation,open europe,unconvinced of agw,uk,europe,,uk,europe,0,0
martin masse,montreal economic institute,institut economique molinari,unconvinced of agw,canada,north america,,france,europe,1,1
marty zupan,institute for humane studies,john william pope center for higher education policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
mary king,national right to work committee,oregon center for public policy,,usa,north america,,usa,north america,0,0
mary robinson,global humanitarian forum,european climate foundation,convinced of agw,switzerland,europe,convinced of agw,europe,europe,1,0
matt holdridge,atlas society,campaign for liberty,,usa,north america,,usa,north america,0,0
matt holdridge,atlas society,young americans for liberty,,usa,north america,,usa,north america,0,0
matt holdridge,campaign for liberty,young americans for liberty,,usa,north america,,usa,north america,0,0
matt kibbe,citizens for a sound economy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
matthew elliott,the cobden centre,taxpayers alliance,unconvinced of agw,uk,europe,,uk,europe,0,0
matthew sinclair,liberty league,taxpayers alliance,,uk,europe,,uk,europe,0,0
matthew spalding,claremont institute,americans future foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
matthias storme,nova civitas,center for european renewal,unconvinced of agw,belgium,europe,,netherlands,europe,1,0
matthias storme,nova civitas,libera!,unconvinced of agw,belgium,europe,,belgium,europe,0,0
matthias storme,nova civitas,res publica,unconvinced of agw,belgium,europe,,belgium,europe,0,0
matthias storme,center for european renewal,libera!,,netherlands,europe,,belgium,europe,1,0
matthias storme,center for european renewal,res publica,,netherlands,europe,,belgium,europe,1,0
matthias storme,libera!,res publica,,belgium,europe,,belgium,europe,0,0
michael,libertarian international,tennessee center for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael armstrong,campus reform,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael bond,james madison institute,kansas policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael c. carnuccio,oklahoma council of public affairs,the liberty foundation of america,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael fellner,collegians for a constructive tomorrow,young americans for liberty,unconvinced of agw,usa,north america,,usa,north america,0,0
michael glantz,environmental literacy council,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael hüther,initiative neue soziale marktwirtschaft,institut der deutschen wirtschaft,,germany,europe,,germany,europe,0,0
michael i. krauss,national association of scholars,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael j. new,goldwater institute,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael limburg,clexit,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
michael limburg,clexit,hausgeld-vergleich,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
michael limburg,clexit,alternative für deutschland,unconvinced of agw,usa,north america,,germany,europe,1,1
michael limburg,eike,hausgeld-vergleich,unconvinced of agw,germany,europe,unconvinced of agw,germany,europe,0,0
michael limburg,eike,alternative für deutschland,unconvinced of agw,germany,europe,,germany,europe,0,0
michael limburg,hausgeld-vergleich,alternative für deutschland,unconvinced of agw,germany,europe,,germany,europe,0,0
michael mosbacher,democracy institute,social affairs unit,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
michael novak,center of the american experiment,social affairs unit,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
michael p. farris,council for national policy,free congress foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
michael s. coffman,environmental perspectives,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
michael von liechtenstein,institute for research in economics and fiscal issues,institut thomas more,unconvinced of agw,france,europe,,france,europe,0,0
michael wilson,scientific alliance,sense about science,unconvinced of agw,uk,europe,,uk,europe,0,0
michael zöller,hayek institut,mont pelerin society,unconvinced of agw,austria,europe,,global,global,1,1
midge decter,philadelphia society,independent womens forum,unconvinced of agw,usa,north america,,usa,north america,0,0
mike morrison,american energy alliance,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
miles weinberger,american council on science and health,sound science in public policy,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,1,1
milton friedman,national tax limitation committee,western economic association international,,usa,north america,,usa,north america,0,0
milton friedman,national tax limitation committee,mont pelerin society,,usa,north america,,global,global,1,1
milton friedman,western economic association international,mont pelerin society,,usa,north america,,global,global,1,1
morgan reynolds,ludwig von mises institute,scholars for 9/11 truth,unconvinced of agw,usa,north america,,usa,north america,0,0
morgan reynolds,ludwig von mises institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
morgan reynolds,scholars for 9/11 truth,tobacco institute,,usa,north america,,usa,north america,0,0
morton blackwell,council for national policy,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
morton blackwell,council for national policy,national right to work committee,unconvinced of agw,usa,north america,,usa,north america,0,0
morton blackwell,leadership institute,national right to work committee,unconvinced of agw,usa,north america,,usa,north america,0,0
morton c. blackwell,american civil rights union,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
morton c. blackwell,american civil rights union,free congress foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
morton c. blackwell,the american conservative union foundation,free congress foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
myron ebell,global climate science communications team,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
nan swift,freedomworks,national taxpayers union,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nancie g. marzulla,defenders of property rights,"environmental conservation organization, inc.",unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nancie g. marzulla,defenders of property rights,freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nancie g. marzulla,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nell minow,center for media and public affairs,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nelson bunker hunt,council for national policy,john birch society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
newton minow,center for media and public affairs,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nicholas eberstadt,environmental literacy council,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nicholas eberstadt,environmental literacy council,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nicholas eberstadt,independent commission on environmental education,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nicole le douarin,fondation pour linnovation politique,fondation ecologie davenir,,france,europe,,france,europe,0,0
nigel ashford,democracy institute,institute for humane studies,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nigel ashford,democracy institute,liberty league,unconvinced of agw,usa,north america,,uk,europe,1,1
nigel ashford,institute for humane studies,liberty league,unconvinced of agw,usa,north america,,uk,europe,1,1
nigel farage,bruges group,europe of freedom democracy,unconvinced of agw,uk,europe,,europe,europe,1,0
nils-axel mörner,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
nils-axel mörner,principia scientific international,independent committee on geoethics,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
nils-axel mörner,principia scientific international,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
nils-axel mörner,clexit,independent committee on geoethics,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
nils-axel mörner,clexit,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
nils-axel mörner,independent committee on geoethics,eike,unconvinced of agw,uk,europe,unconvinced of agw,germany,europe,1,0
norman barry,ludwig von mises institute,john locke institute,unconvinced of agw,usa,north america,,usa,north america,0,0
norman barry,ludwig von mises institute,civitas,unconvinced of agw,usa,north america,,uk,europe,1,1
norman barry,john locke institute,civitas,,usa,north america,,uk,europe,1,1
norman stone,bruges group,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
north,principia scientific international,no cap-and-trade coalition,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,1,1
olivier hoedeman,corporate europe observatory,spinwatch,convinced of agw,belgium,europe,convinced of agw,europe,europe,1,0
paolo pamini,liberales institut,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
pascal salin,ludwig von mises institute,forces,unconvinced of agw,usa,north america,,usa,north america,0,0
pascal salin,ludwig von mises institute,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
pascal salin,ludwig von mises institute,liberales institut,unconvinced of agw,usa,north america,unconvinced of agw,switzerland,europe,1,1
pascal salin,ludwig von mises institute,la main invisible,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
pascal salin,ludwig von mises institute,institut constant de rebecque,unconvinced of agw,usa,north america,,switzerland,europe,1,1
pascal salin,ludwig von mises institute,association pour la liberta conomique et le progress social,unconvinced of agw,usa,north america,,france,europe,1,1
pascal salin,ludwig von mises institute,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
pascal salin,forces,institute of economic affairs,,usa,north america,unconvinced of agw,uk,europe,1,1
pascal salin,forces,liberales institut,,usa,north america,unconvinced of agw,switzerland,europe,1,1
pascal salin,forces,la main invisible,,usa,north america,unconvinced of agw,france,europe,1,1
pascal salin,forces,institut constant de rebecque,,usa,north america,,switzerland,europe,1,1
pascal salin,forces,association pour la liberta conomique et le progress social,,usa,north america,,france,europe,1,1
pascal salin,forces,mont pelerin society,,usa,north america,,global,global,1,1
pascal salin,institute of economic affairs,liberales institut,unconvinced of agw,uk,europe,unconvinced of agw,switzerland,europe,1,0
pascal salin,institute of economic affairs,la main invisible,unconvinced of agw,uk,europe,unconvinced of agw,france,europe,1,0
pascal salin,institute of economic affairs,institut constant de rebecque,unconvinced of agw,uk,europe,,switzerland,europe,1,0
pascal salin,institute of economic affairs,association pour la liberta conomique et le progress social,unconvinced of agw,uk,europe,,france,europe,1,0
pascal salin,institute of economic affairs,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
pascal salin,liberales institut,la main invisible,unconvinced of agw,switzerland,europe,unconvinced of agw,france,europe,1,0
pascal salin,liberales institut,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
pascal salin,liberales institut,association pour la liberta conomique et le progress social,unconvinced of agw,switzerland,europe,,france,europe,1,0
pascal salin,liberales institut,mont pelerin society,unconvinced of agw,switzerland,europe,,global,global,1,1
pascal salin,la main invisible,institut constant de rebecque,unconvinced of agw,france,europe,,switzerland,europe,1,0
pascal salin,la main invisible,association pour la liberta conomique et le progress social,unconvinced of agw,france,europe,,france,europe,0,0
pascal salin,la main invisible,mont pelerin society,unconvinced of agw,france,europe,,global,global,1,1
pascal salin,institut constant de rebecque,association pour la liberta conomique et le progress social,,switzerland,europe,,france,europe,1,0
pascal salin,institut constant de rebecque,mont pelerin society,,switzerland,europe,,global,global,1,1
pascal salin,association pour la liberta conomique et le progress social,mont pelerin society,,france,europe,,global,global,1,1
pat michaels,american environmental coalition,new hope environmental services,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
pat robertson,american environmental coalition,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick basham,democracy institute,the free society,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
patrick j. garrity,ashbrook center for public affairs,claremont institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,consumer alert,greening earth society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,consumer alert,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,consumer alert,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,consumer alert,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,greening earth society,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,greening earth society,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,greening earth society,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,independent commission on environmental education,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,independent commission on environmental education,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick j. michaels,virginia institute for public policy,american council on science and health,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick michaels,australian taxpayer alliance,center for the study of science,,australia,oceania,unconvinced of agw,usa,north america,1,1
patrick michaels,australian taxpayer alliance,"weidenbaum center on the economy, government, and public policy",,australia,oceania,unconvinced of agw,usa,north america,1,1
patrick michaels,center for the study of science,"weidenbaum center on the economy, government, and public policy",unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
patrick minford,bruges group,institute of economic affairs,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
patrick minford,bruges group,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
patrick minford,institute of economic affairs,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
patrick moore,clexit,independent committee on geoethics,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
paul bachman,american tradition institute,beacon hill institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul chesser,american tradition institute,commonwealth foundation for public policy alternatives,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul chesser,american tradition institute,national legal and policy center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul chesser,commonwealth foundation for public policy alternatives,national legal and policy center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul cliteur,frederic bastiat stichting,opinio,,netherlands,europe,,unknown,unknown,1,1
paul driessen,center for the defense of free enterprise,doctors for disaster preparedness,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul driessen,center for the defense of free enterprise,principia scientific international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul driessen,center for the defense of free enterprise,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul driessen,doctors for disaster preparedness,principia scientific international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul driessen,doctors for disaster preparedness,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul driessen,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul mccarthy,mannkal economic foundation,mannkal economic research foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
paul mongerson,center for media and public affairs,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
paul ormerod,institute of economic affairs,civitas,unconvinced of agw,uk,europe,,uk,europe,0,0
paul ormerod,institute of economic affairs,economic policy centre,unconvinced of agw,uk,europe,,uk,europe,0,0
paul ormerod,civitas,economic policy centre,,uk,europe,,uk,europe,0,0
paul reiter,principia scientific international,campaign for fighting diseases,unconvinced of agw,usa,north america,,uk,europe,1,1
paul weyrich,american environmental coalition,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
pedro schwartz,institute of economic affairs,liberales institut,unconvinced of agw,uk,europe,unconvinced of agw,switzerland,europe,1,0
peter,stichting meer vrijheid,murray rothbard instituut,unconvinced of agw,netherlands,europe,unconvinced of agw,belgium,europe,1,0
peter boettke,foundation for economic education,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
peter boettke,foundation for economic education,the cobden centre,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
peter boettke,foundation for economic education,jerusalem institute for market studies,unconvinced of agw,usa,north america,unconvinced of agw,israel,asia,1,1
peter boettke,the bastiat society,the cobden centre,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
peter boettke,the bastiat society,jerusalem institute for market studies,unconvinced of agw,usa,north america,unconvinced of agw,israel,asia,1,1
peter boettke,the cobden centre,jerusalem institute for market studies,unconvinced of agw,uk,europe,unconvinced of agw,israel,asia,1,1
peter calcagno,ludwig von mises institute,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
peter calcagno,ludwig von mises institute,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
peter calcagno,the bastiat society,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
peter cook,council for national policy,mackinac center for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
peter ellis,the carbon sense coalition,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
peter ferrara,american civil rights union,institute for policy innovation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
peter j. boettke,institute for humane studies,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
peter j. boettke,institute for humane studies,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
peter j. boettke,institute for humane studies,southern economic association,unconvinced of agw,usa,north america,,usa,north america,0,0
peter j. boettke,virginia institute for public policy,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
peter j. boettke,virginia institute for public policy,southern economic association,unconvinced of agw,usa,north america,,usa,north america,0,0
peter j. boettke,association of private enterprise education,southern economic association,,usa,north america,,usa,north america,0,0
peter jungen,berlin manhattan institut für unternehmerische freiheit e.v.,european enterprise institute,unconvinced of agw,germany,europe,unconvinced of agw,europe,europe,1,0
peter kurrild-klitgaard,ludwig von mises institute,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
peter w. schramm,ashbrook center for public affairs,claremont institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
ph,american council on science and health,free congress foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
philip collins,civitas,economic policy centre,,uk,europe,,uk,europe,0,0
philip foster,principia scientific international,independent committee on geoethics,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
philip morris,american legislative exchange council,apco worldwide,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
philip morris,american legislative exchange council,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
philip morris,american legislative exchange council,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
philip morris,apco worldwide,national tax limitation committee,unconvinced of agw,usa,north america,,usa,north america,0,0
philip morris,apco worldwide,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
philip morris,national tax limitation committee,committee on taxation and economic growth,,usa,north america,,usa,north america,0,0
philipp bagus,ludwig von mises institute,the cobden centre,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
philippe,the cobden centre,institut constant de rebecque,unconvinced of agw,uk,europe,,switzerland,europe,1,0
philippe,the cobden centre,institut de formation politique,unconvinced of agw,uk,europe,,france,europe,1,0
philippe,the cobden centre,institut economique molinari,unconvinced of agw,uk,europe,,france,europe,1,0
philippe,institut constant de rebecque,institut de formation politique,,switzerland,europe,,france,europe,1,0
philippe,institut constant de rebecque,institut economique molinari,,switzerland,europe,,france,europe,1,0
philippe,institut de formation politique,institut economique molinari,,france,europe,,france,europe,0,0
philippe maystadt,european policy centre,itinera institute,unconvinced of agw,belgium,europe,,belgium,europe,0,0
phyllis schlafly,clare boothe luce policy institute,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
phyllis schlafly,clare boothe luce policy institute,eagle forum,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
phyllis schlafly,clare boothe luce policy institute,john birch society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
phyllis schlafly,council for national policy,eagle forum,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
phyllis schlafly,council for national policy,john birch society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
phyllis schlafly,eagle forum,john birch society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
pierre bessard,liberales institut,nipcc - suisse,unconvinced of agw,switzerland,europe,unconvinced of agw,switzerland,europe,0,0
pierre bessard,liberales institut,friedrich a. von hayek-gesellschaft e. v.,unconvinced of agw,switzerland,europe,unconvinced of agw,germany,europe,1,0
pierre bessard,liberales institut,institute for research in economics and fiscal issues,unconvinced of agw,switzerland,europe,unconvinced of agw,france,europe,1,0
pierre bessard,liberales institut,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
pierre bessard,nipcc - suisse,friedrich a. von hayek-gesellschaft e. v.,unconvinced of agw,switzerland,europe,unconvinced of agw,germany,europe,1,0
pierre bessard,nipcc - suisse,institute for research in economics and fiscal issues,unconvinced of agw,switzerland,europe,unconvinced of agw,france,europe,1,0
pierre bessard,nipcc - suisse,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
pierre bessard,friedrich a. von hayek-gesellschaft e. v.,institute for research in economics and fiscal issues,unconvinced of agw,germany,europe,unconvinced of agw,france,europe,1,0
